,6581
diminishing,1
disjointed,1
mouth,50
long.,1
reverence,6
long,,16
herbalist,,1
mitre,,1
expound,2
singer,6
Dorador,,1
pots,,4
affair;,1
spinning,,1
fugitives,2
moon.",2
affair,,8
saying,148
"Peace,",1
father's,,4
loitered,1
tempted,10
cheaply,1
violence;,1
self-glorification,1
bliss,4
rich,82
rice,1
plate,5
remotest,1
Burgundy,2
altogether,18
LIV.,1
Rome;',1
givest,5
therein;,2
nicely,2
pack-saddle;',1
patch,2
neigh,,1
boarded,1
lamentations;,1
requisite;,1
lamentations,,3
lamentations.,1
comeliest.,1
requisite,,2
monastery;,1
lots,1
droves,5
dawn,,1
truly,,3
requisites,1
discipline,1
extend,6
nature,48
seriously.,1
extent,8
Here,,5
remainder.",1
lot;,1
he--and,2
described.,2
drove,,2
lot.,1
described;,5
lot,,3
Briareus,,1
directly,,1
﻿The,1
mortified,2
doubt,,47
doubt.,3
wearying,2
saints,',1
partake,1
doubt;,4
Silva's,1
angel,6
TURN,2
union,1
fro,5
studious,2
much,400
tallest,1
"one,3
Alastrajareas,,1
being),,1
Thrace,,2
embarkation,,1
needed.,1
needed,,3
Thrace?,1
sillinesses.,1
Arnaut,2
needed;,1
Zulema,,1
spin,2
skilfully,3
daughter,",1
rightly),1
rightly,,5
employ,7
shoulders?",1
1672,1
prostrate,6
Rotunda,,1
bought,,2
"hast,2
consent.,1
consent,,4
wits.",5
to-morrow,27
wonder-working,1
Sword,1
plants,,1
Ruidera.,2
names),,2
conjured,,1
memorial,1
horseback;,1
knight-governors,1
well-born,1
horseback,,22
split,5
crafty.",1
knight-errantry,",1
portrait-painting,1
supped,8
increased,,2
boiled,3
marches,1
Maybe,1
uno:,1
qualifications,3
marched,6
sect.",1
supper,16
Persia,1
SOLISDAN,1
pleasure.",1
stillness,1
Table,1
bellow,1
three-and-twenty,1
absurdities,13
set-off,,1
maketh,1
Uchali,3
passing.,2
portrayed,1
Happy,4
equal:',1
taxes.,1
taxes,,1
had,2209
advancement,2
hay,2
beloved,16
has,937
brays,4
embarked;,1
elders,1
siesta,1
clustered,2
shadow,7
lass,,8
lass.,1
bray.,1
bray;,3
Framer,1
beneficial,2
disdain,,2
disdain.,1
us?",4
crown,22
cheeks.,2
captive,38
disdain;,1
Between,3
stealthily,1
Twice,1
"The,106
perchance,10
paths,,2
bottom,7
inhuman,3
plucked,10
gambados,1
deceiver's,1
Torrellas,1
Calle,1
was),,1
crow;,1
air--though,1
painstaking,,1
Clavileno;,1
benches,1
Campeador.,1
lachrymis?,1
ingenious,,1
ill-founded,1
university,,2
chants.",1
administer,3
beings,5
growing,,1
despised,2
fabric,2
due),1
serving,,3
"Whereabouts,1
suffice,13
complication,,1
humble,,3
humble.,1
tame,5
overnight.,1
grasping,7
despises,1
bearding,1
greatness,14
PLEASE,1
'won't,1
grooms,1
being!,2
perfumes,1
waistcoat,1
"show,2
being,,16
hot-tempered,1
being.,3
shoot;,1
perfumed,2
Palinurus,1
being;,2
safeguard,1
duel,1
humbled,1
onions,,4
masquerading,1
perplexities,,1
eclogues,,3
humbler,1
humbles,1
unanimous,1
smashed,4
Counts,1
dues,3
night!",1
passenger,1
disgrace,3
Mancha?",1
Bologna,,1
moderns,1
scuttled,1
minds,,3
Dorado,,1
crowns,38
roll,4
intend,3
palms,3
ointment,4
modern,,2
comely,6
intent,1
smelling,1
"though,18
crown:,1
commended,,1
crown,,2
crown.,1
penance.,2
chivalry,,40
chivalry.,12
blunders,,1
stay!,1
chain,14
whoever,23
stay,,5
stay.,1
Towns,,1
chivalry!,1
gloom;,1
chivalry?,3
chivalry;,7
chivalry:,1
chair,11
stay;,3
losing;,1
lookout,,1
unpack,1
cook;,1
grappled,1
absence.",1
blustering,1
cook,,2
Rodriguez,,12
jerk,2
child;,1
choice,27
embark,4
gloomy,4
exact,5
minute,15
pride,,3
cooks,2
reining,2
compressed,,1
testing,,1
meadow,14
Date:,1
gnawed,2
shirts,4
kindliness,1
Cecial?,1
Cecial;,1
celebrated,9
Cecial,,6
Lopez,2
dust.,1
drafted,1
Montiel,1
honour,81
shirt,,6
plucking,3
gnaw,3
address,14
Europe,,3
Europe.,1
My,52
shirt;,2
blunter,1
plunges,2
diligence.",1
dusty,2
Lope,,1
catch,,1
accomplished,11
Toledo,",1
ill-fated,2
rider,,1
constant,,1
READ,3
console,,1
public.,3
Enough,1
be.",10
self-sufficient,1
slept,,2
undergone,5
August,2
working,7
perished,2
Morisco,14
vigour,6
Royalty,2
opposed,10
Those,8
perishes,1
Rotolando,1
dampness,2
contraries?,1
consoled,7
Anselmo's.,1
cats,,3
Florismarte,1
intemperance,1
originally,2
mummy.,1
importunities,,1
stated,,2
harmonious,1
following,57
stupidities,2
easily.",1
admired,4
mirrors,2
restitution;,1
locks,5
heard.,6
heard,,24
admirer,1
clothing,,2
meddle,,1
listens,4
'never,1
vainly,2
thunder,,2
thanking,4
great-grandfather's,1
unyoke;,1
mussel-shells,1
listen,,5
"there's,6
Foundation's,3
sure,",1
laxative,1
mirror,,2
mirror.,1
temperate,2
unyoked,2
conscious,2
ARGAMASILLA,,7
speakest,5
("the,1
Trebizond,1
swollen,1
skirmish,1
wolves,4
pulled,12
furnish,",1
LII,2
years,78
gayest,,1
compassion.",1
below;,1
LIX,2
dead;,6
INCIDENTS,,2
did,,39
did.,3
singer.",1
dead.,8
dead,,15
somehow.,1
suspension,1
troubled,20
abusive,1
did;,4
modestly,2
year?,1
year;,2
thine,,8
thine.,3
well-meant,2
Mameluke,1
Clavileno.,1
year,,17
year.,4
come--as,1
professor;,1
burial-place,,1
postillion,,1
thine;,4
Lorenzo's,2
trouble;,4
tongues;,1
LI.,2
pealing,1
trouble.,1
trouble,,14
sorrow.",1
countess,",4
instability,1
quarter,23
Countenance-",1
complexion,2
bursting,4
receipt,7
adored,,2
right.",6
Live,1
inside.",1
entering,13
Courteous,,1
obeisance,,2
briefly.,1
briefly,,1
worm-eaten,,1
Kyrieleison,1
seriously,4
briefly;,1
squires.",2
salad.,2
obeisances,1
salad,,1
things,",4
incentives,1
complicated,5
disaster;,1
evermore,,1
evermore.,1
pasamaques,,1
paper.",1
workmanship,1
learning;,1
modest,14
better-looking,1
servissimus.",1
moustaches;,2
Pierres,7
assessor.,1
HEAR,2
neglect,4
learning,,3
Since,,2
gunshot,2
saving,9
spoken,25
prog;,1
story-tellers,1
one,1358
Fates,1
periodical,1
"For,35
Monday,2
"Poor,1
repentant,,1
afford,,1
on.,17
on,,60
spoke.,1
spoke,,2
didst,,1
snatch,4
on:,2
on;,9
1.E.8,2
LETTER,10
herds,1
1.E.7,2
1.E.1,3
History,3
cuttlefish,,1
"Alas!",1
future.",2
opponent,4
wandering,20
exaggeration.,1
exaggeration,,1
cattle-bell,1
sumptuous,11
turned,125
locations,1
jewels,15
balsam,16
forebodings;,1
erudition,4
baggage,1
warriors,1
alabaster.,1
alabaster,,2
intends,1
ointments,1
touch,,3
touch.,1
reconciled,1
printer,1
opposite,29
discerning,1
admired;,1
jewel,,1
printed,24
sainted,1
retired;,1
ill-use,1
epithets.,1
booty,,1
intend,,1
bully;,1
dryshod,1
warrior,,2
lazy,,3
stimulator,1
sword;",1
galleys,",1
Ethiopia,1
inconsistent,4
heeding,2
imagined,12
plain,",1
umbrage.,1
reconciling,1
Unreached,1
transact,2
effect.,6
betrothal,4
lanterns.,1
end?",1
ENTERTAINING,2
guile,,1
rejoiced,6
supplications.,1
tilting,2
balconies,4
imagine,,6
fritters.",1
imagine.,1
awkwardly.,1
awaiting,8
squire's,9
keenly,1
powerless;,1
press;,1
press?,1
Roque,,14
press,,3
vision,5
press.,3
enthralled,2
marrying,,1
undismayed,,1
"why,,5
commanded.,1
knee-caps,,1
braggart;,1
hastened,27
naked;,1
furniture.,1
avails,2
bearded,,1
abound.",1
naked,,5
moons,1
enjoys,2
curate's;,1
impression,,1
Pollux,,1
impression;,1
menacing,2
concentrated,1
moon,,4
"for,196
charity-boy,1
can't,37
reading;,2
want;,2
compels,2
reading,,3
gaiety,4
reading.,1
vomit,,1
want.,2
want,,4
Panzas,,3
west,1
Hoyos,,1
quailed,1
practised,6
Panzas;,1
wants,24
vomits,1
setoff,1
formed,7
fought;,1
abject,2
extant,2
bewildered,,2
former,26
standard,4
mind-;,1
"There's,9
motive.,1
pretence,8
straighten,1
Commander,1
butchers,1
straighter,1
uncommon,,2
squeezed,6
situation,1
engaged,38
limping,1
assign,,1
reviles,1
demolition,1
verified,3
XV.,2
"Boy,,1
deadened,,1
edged,1
sickness,1
defy,4
governor?",3
XVI,2
Prester,2
resting-place,2
Mishap,1
'was',2
peculiarities,1
adoring,1
Mirrors,,6
Mirrors.,1
being,450
composing,5
officers,,6
shamefully,1
gesture,,1
sum.,1
sum,,1
short"),,1
officers;,1
plumed,3
skull.",1
overthrow,2
plumes,2
rejoin,1
sums,1
unveil,1
gestures,3
preference,3
Merlo,,1
world,182
sorry!,1
hunger,,23
superiority,5
rove,,1
satisfactory,8
'It,2
Medes,,1
Montalvo,1
'If,6
midges,,1
'In,1
divine,20
saidst,2
holdest,2
Teresona,",1
wicked.",1
cavity,1
fright,,2
judgments--that,1
"much,1
lastly,,10
restoring,6
capers,,3
disparaging,1
Gaul,7
goose,,1
moment,",1
luxurious,1
thirsty,,1
unmannerly,1
faggots,,1
autem,2
cakes,,1
"Because,2
No,28
antidote,2
forehead,,4
joustings,,1
wit;,2
cowhide,1
lively,13
wit,,15
forehead;,1
dirt,,2
ass,,62
ass.,2
NO,8
victuals,,2
gleam,1
ass',1
rag,,1
widower,,1
Peninsula,2
ass;,6
Barbarossa.,1
duenna.",1
seasons,,2
abuse;,1
answering,,4
perceive.",1
wits,21
answering;,1
with,3523
self-deluding,,1
abused,7
pull,4
rush,10
thumps,1
rage,17
Rodriguez,20
coif,,1
Leonese,,1
dirty,6
abuses,1
attentions.,1
rust,3
e'er,1
buoyancy;,1
watches,3
watched,14
jargon,1
attendance,,1
cream,7
performers,,1
sayest,12
doublets,,1
unnamed,,1
Genoa.,1
unparalleled,10
trick,,7
trick.,2
trick!,2
Floripes,1
Lady,13
"What?,2
indemnify,1
waving,1
payer,'",1
midges,1
intimation,2
brotherhood,1
infirmity,2
Mexico;,1
tricky,1
unwelcome,,1
tricks,8
madrigal,1
dyed,1
unwelcome?,1
dyes,1
finally,,1
uneasiness,,6
uneasiness.,1
curate,168
"On,8
consciences,1
caused,21
beware,2
devoted,,1
STRANGE,20
(if,10
oaths,4
"Worthy,3
"Dine,1
loyalty;,1
defiance.",1
ill-luck,6
adapt,2
oath,,6
Scarcely,2
cause.,1
conscience;,4
Damsels,',1
cause;,4
conscience,,8
conscience.,1
carter,,2
Cardenio's,,1
riot,,1
sang,10
sand,4
sane,1
small,60
Cardenio's;,1
sank,1
nor,,3
has,,11
Teresa;,15
lying?,1
lying;,3
has!,1
past,34
19,,1
displays,4
pass,89
lying.,1
lying,,4
dwell.,1
many.",2
naturalised,3
mould,,2
clock,2
schemes,,1
pliancy,2
prevailed,3
jurist,1
dwells,1
sword-cuts,,1
full,175
rebuilt;,1
display,,2
portrays,1
rebuilt,,1
tires,,1
hast,148
display;,1
fugitives,,1
experience,30
mouldy,1
periodic,1
cessation,1
followed,68
drank,,1
Deeds,1
"Purgatory,1
follower,2
benches;,1
cruelty!",1
substance,,1
market-women,,1
God;,4
attendance,6
enliven,3
mors,1
God.,1
God,,64
God!,8
more,1001
separately,,1
'well,,1
door,49
PEERLESS,2
company,51
regidor.",1
phlegmatically,1
tested,2
jealousies,1
doom,1
thickest,4
learn,18
knocked,17
embrace,18
scramble,1
MANCHA,15
disgrace,,2
NOVEL,6
Cato's.,1
'To,1
lank,,2
tomb;,1
prostration,1
huge,8
hens,3
dismissed,6
purpose?",1
sprinkle,2
intended,14
oleander,1
disgraced,3
tricks;,1
OTHER,75
under-clothing;,1
malevolent,3
France?,1
resemble,2
France,,11
sincerity,,1
troglodyte,2
Nero,1
Jarama,1
spied,,1
replied,343
rejoiced,,2
expecting,,2
paper,27
abroad.",2
smiling,4
roots,5
wonder,",3
saucy,2
between;,1
sublimated,1
course),1
course.,3
course,,16
hounds,2
dally,,1
between,,2
course;,4
Brussels,2
sauce,1
disfigured,3
angered,2
clefts,1
drawbridge;,1
abandons,1
gipsy,2
sign,,1
sign.,1
wool,,2
wool.,1
barefaced,1
Quintanona,,3
Portugal.,2
Portugal,,4
courses,2
BOOKS,2
produced;,1
Portugal;,2
distress!",1
minority.,1
minority,,1
engendered,3
begged,71
Kandian,,1
multitude.,1
multitude,,1
discharged.",1
inquired,3
shepherdess,11
entreaty;,1
Moreno's;,1
research,4
entreaty,,2
pair,,9
pair.,1
stretch.",1
Nine,3
flees,,1
even--but,1
salivation,1
occur,,1
Panza,92
inquire,,1
inquire),1
hitherto.,1
occur:,1
occur;,1
purport,1
Avellanedas,1
preservation,2
towels,,1
crutches,,2
famishing;,1
comply.,1
suddenly,,1
moderately,1
pebbles,,2
saint,7
condolence,,2
essays,1
knoweth.",1
cradled,1
peaceably,2
justly,6
first,,22
first.,2
ferry?,1
gaiters,2
first;,2
Avellaneda,,2
Avellaneda.,1
first?,1
stifle,1
lips.",2
ungrateful,12
CAMACHO'S,2
easy.,2
charges,4
cradle,,1
embarrassment.",1
supposed;,1
safe?,1
refulgence,1
guarding,1
supposed,,2
farewells,,2
"Dull,1
elm,,1
cleverness,3
mend,,1
"Novel,2
sell,10
amusement.,2
amusement,,2
lashes.,2
understand;,2
lashes,,11
discomfort.,1
also,92
late.",1
prices.,1
amusement;,5
unparagoned,1
attains,,1
lashes;,4
understand,,5
plots,,1
Albeit,1
mends,1
neighbourly.,1
quality,",1
understands,3
muleteer,2
seize,9
sharp;,1
sometimes,33
stoning,1
discomforts,1
1687,1
Nature's,1
barren,4
amusements,1
pipes,1
bouts,1
heaps,1
adventurer;,1
plaster,,1
You're,1
Had,5
adventurer,,2
entity,3
Has,1
scourges,,1
overwhelmed,6
occupation,6
pleasure;,6
pleasure?,1
tabors,2
pleasure.,5
pleasure,,20
indifference,1
accommodation;,1
alive!,1
alive.,5
secular,2
ceasing,4
remedy,28
compass,4
plasters,4
distraction,2
devoured,4
sects,1
pleasures,2
ill-acknowledged,,1
sir?",2
piped,1
devourer,1
honours,,1
Calainos,,1
insane,2
"'Don,1
understand,",1
collectively,1
shower,9
drowsy,,1
yours-which,1
jewels,,1
handselled,,1
impertinent,,1
skimmed,1
'Never,1
earth.",9
scatterbrain,1
lass,8
last,118
disenchanted.",1
windmill,,1
connection,3
writings;,1
weary,,2
weary.,1
lash,2
dryads,,1
pleasures,,2
bell,2
olla,4
acted,24
quickly,",1
geometry,1
magnificently,,1
adaptation,1
"Heed,1
"whom,,1
drawn.,1
drawn,,1
belt,1
cage,,15
cage.,2
willingness,1
satire,4
XIII.,2
"Will,6
extravagant,3
loaded,,1
combatants,7
eyes.",2
longest,,1
awake,14
promptly.",1
mournful,2
presses,3
caged,4
budget,1
admire,2
GAUL,1
pressed,23
monsters,,3
Market,1
"Novelas,1
30,1
agitation,6
binding,5
sighed,,1
sighed.,1
remember.",2
"Happy,4
ugliness,3
3.,1
affairs,17
fraternity,,3
implement,1
infamous,1
yet;,2
roguishly;,1
saturatio,1
impresion,",1
yet.,1
yet,,13
make-believe,2
clasped,6
O,,8
lads,2
"their,1
wayward,,1
salve,1
conduct.",1
electronically,,1
us,",4
feared,,1
feared.,1
truism,1
cuffs,5
knighting,1
Munaton.",1
Toledan;,1
individual,,2
jest;,1
parents,29
depravity,1
anklets,2
On,89
Oh,9
Of,59
couple,51
wives,3
seventeen;,1
Mars.,1
abound,1
Or,25
BEFORE,3
ON,23
Toledans,1
OF,401
individuals,1
deign,",1
WEDDING,4
tribes,1
cuff.,1
OR,18
gods,',1
methods,2
Christendom,,2
HOME,2
incidentally,,1
Hell,,1
flogging,,1
untranslatable,1
measurements,1
deserve.,1
thrower,1
deserve,,3
completely,,4
joke--you,1
behave,10
Great-grandson,1
deserve;,3
seclusion,9
inserting,1
LXIV.,1
montera,4
concealed,14
harmless;,1
method,,1
obscured,1
cianis,1
revolved.",1
notions,,2
deserved,8
Quixada?",1
deserves,21
notions;,2
inspector,1
opened.,1
REACH;,2
readable,2
into,581
tricks.',1
tricks.",1
enormous.,1
enormous,,1
clustering,1
deponent,1
span,1
bowels;,4
tasting,1
bowels,,5
bowels.,1
"Tameji,,1
prowling,1
redoubled,2
opens,2
credit.,1
supplied,,1
considerable,9
"aye,1
open,,7
open.,1
almacen,,1
fortunes,,6
thus--,1
open;,2
ALCOCER,,1
either.",1
enthusiasm.,1
camp,1
living;,1
influence,14
haunt,2
diverse,1
retreat-,,1
well,",15
living,,5
festival,,2
intrepid,4
puzzling,4
nakedness,,3
idleness,3
forebode,1
Senor,169
stockfish,,1
bulkier,1
oblige,5
Furious.,1
slaughtering,1
land,31
wafer,1
lank,4
beverage,1
verses;,2
dawning,2
castle?",1
broader,2
amiss,3
county?",1
stanzas:,1
stanzas;,1
duped,1
stanzas.,1
rejoined,1
debarred,3
LAUDEM,1
carelessly,2
indicating,1
ague,,1
paint,,1
suspense.",1
informed,,2
befooled.,1
TOBOSO,5
ague;,1
data--as,1
petitions,3
resource,,1
"History,3
sleeping;,4
world;",3
world;',1
fewer,2
sleeping,,4
sleeping.,1
XVI.,2
hinges;,1
sleeping!,1
lay-brother;,1
mishap,8
crook,1
Saavedra,4
air.",3
"Don't,18
sentiments,,1
HEROIC,2
victor,4
that,,247
make.,1
that.,3
undone;,1
sweats,1
hack;,2
that!,2
henceforth,4
that?,1
make;,1
that:,1
flowing,7
king!,1
answered.,1
answered,,8
fifteen,10
feet?",1
sight--or,1
'for,5
sweat.,2
sweat,,4
makes,88
maker,1
withdrew,,4
given;,1
given?,1
eyelid,,1
half-suppressed,1
dearly,,1
dearly.,1
devil!",1
given.,1
given,,3
HEART,2
confidence,12
dreams,,2
Presently,2
indites,1
wisdom.,1
next,89
Methinks,1
assuring,6
infantry,1
fortitude,,1
http://pglaf.org,2
true--as,1
placard,3
entangle,1
Quixano,,1
carts,,1
remarks,,2
remarks.,1
scatter,1
murmuring,3
process,4
lock,2
coolness,1
rode,21
educational,1
On,,2
knight-errant!,1
knight-errant.,2
knight-errant,,33
villages.",1
"'"You,1
procured,2
pure-minded,,1
comedy,5
intelligent,10
knight-errant;,7
Mancha's,2
near.,3
near,,8
swifter,,1
flour,,1
unbelaboured,1
pale,,5
resolute,,1
"be,6
noises,1
One,52
"is,,2
"by,6
thigh,2
mute,2
physician;,1
insight,1
archbishop.,2
archbishop,,6
directs,1
physician,,5
wife's,8
perfect,14
Reconsider,1
sneeze,,1
PROFOUND,2
important,,1
amiable,,1
meantime,9
thieves,7
accompaniments,2
strokes,,1
derivative,3
prosper,2
sounded,,1
crook,,1
women-servants,1
grasping.,1
herds,,1
graciously,,1
perplex,,1
historiographer,1
maledictions.",1
Gregorio;,1
suitors,3
ventures,,1
somersaults,,1
room?--and,1
deficiency,3
books,107
spareness,1
witness,23
chill,,1
goatherd's,5
rigging,2
Julian!,1
DULCINEA,,4
"travelling,1
Shortly,5
proficient,1
DULCINEAE,1
book,,23
book.,7
frogs,,1
embassy,1
book;,7
against.,1
book?,1
seventy-four,,1
vexation.,1
things.,2
things,,37
WIFE,4
gallons,2
could,634
declare,",1
Jesus,2
things;,7
length,42
"Long,4
assumed,5
repeats,3
liking.,1
Aragonese,,2
straining-cloth,2
jurists,1
(open,1
scene,7
colloquy,,1
takest,1
colloquy.,1
affliction,3
scent,2
interest,,6
two.,3
two,,8
gay,,1
festival,7
slain.,2
slain,,1
gay;,1
cats,4
two;,3
heartrending,1
grated,3
interests,1
folly,,7
stomach,12
happiness!",1
articles;,1
Quickwitted,,1
devoutly,2
jurist,,1
incongruities,1
rolls,,1
Easter,,1
strip,",1
commandant,5
onslaught,,1
Easter;,1
chattels,1
onslaught;,1
tone:,1
false,21
chivalrous,3
slipping,",1
depict,3
dishes,3
uncalled,1
Trifaldi,13
silk.",1
POOR,2
"'let,1
furious,15
Feliciano,2
gloss-writers,,1
subsequently,1
instil,1
Columbian,1
bred,10
perceiving,28
Lirgandeo,",1
"Can,3
REFUND,1
rainbows,1
Rubicon?,1
nouns,,1
nominally,2
protest,,3
few;,3
quickened,1
entities,1
Hurgada.,1
riding,7
few.,3
preliminaries,2
few,,6
realm.",1
Valour,1
antagonism,1
aversions,,1
Maybe,,1
Keep,2
cheerfulness,,2
antagonist,3
oak.,1
nets,,1
taxes,2
vying,1
stuff,6
nets;,1
rapped,1
MERCHANTIBILITY,1
foolishest,1
guessing,4
allusion,2
lawfully,4
frame,2
once;,11
then."--R.,1
Hart,,1
once,,56
once.,10
dungeon,1
destiny,1
insulting,2
'Those,1
thoughtlessness,1
PG,1
flitches;',1
interpolate,1
occurs,,1
gibberish,1
staring,6
perfidious,1
intervals.,1
ease;",1
exalting,1
cudgel,2
intervals;,1
conclude,7
valuation,,1
pineclad,1
yonder?,1
labourest,1
yonder;,2
philosophers,,3
entitle,2
yonder,,3
tyranny,1
descent,,1
described,,13
knighthood;,1
knighthood!,1
restoreth,1
hateful,2
swindling,1
knighthood,,4
knighthood.,2
banish,6
Disdain.,2
reminiscence,1
canonised,1
tantum,,1
Disdain?,1
deductible,1
Morato;,1
Morato,,1
peril.,2
greater,86
ransom,14
pangs,2
of),1
of.,17
of,,55
"Isabella,",1
painstaking,2
colony,,1
runs--,1
mockeries.",1
of;,16
of?,1
struggles,,1
Asturias,1
ALIAS,2
Asturian,4
daring,',1
off,312
doubtful;,1
seats.",1
doubtful,,1
patterns,2
doubtful.,1
fashionable,1
oft,2
Dulcinea-",1
returned.,2
returned,,15
marvellously,1
enemy.,1
enemy,,22
dejection.,2
"'Mind,1
people!",1
enemy;,2
returned;,1
misbehaved,,1
lacerated,,1
herdsman,3
wet,1
practise,9
villagers,1
already,",5
stooped,1
swineherd,1
wishes.",1
supping,1
altogether;,1
ransomed,6
grazier,,1
we,,6
altogether,,1
arrow--though,1
watchtower,,1
become,89
general-on-sea,,1
Pursued,1
literal--barbarously,1
immortal,1
attorney's,1
choosing,5
born.",1
hissing,1
recognition,2
"what,32
prudent?,1
prudent;,1
prudent,,1
passion,24
purgatory!",1
nuts;,2
pressure,6
nuts.,1
imaginary,7
coldly,3
"How,,1
"How!,3
farewell,,6
"How?,1
amends,,1
documentary,1
swimming,3
letters,47
unfavourable,1
miracles.",1
Caesars,1
sharpness,1
donde,1
place;,4
Demosthenes,,1
place,,28
place.,10
UNHAPPINESS,2
letter?,1
letter;,5
life.",14
Caesar,,4
Caesar.,1
letter.,1
letter,,21
travestied,1
tossed,1
wretchedly,1
places,16
greaves,1
excitement,3
placed,65
periwig,1
private.,1
1547.,1
governor's,12
(these,1
faintness,2
outlet,,1
hearers,6
cousin's,2
plundered,3
shooting-stars,1
Peer,,1
nursed,2
effected,7
garden,,16
compared,15
Fate,1
didst,30
deadly,3
lately,8
bit.",1
compares,2
details,3
behold,14
illusion,1
Peers,6
repeat,17
Zancas,1
hearer.,1
hard-hearted,4
winding-sheets,1
suspicion.",2
door;,3
detail,,2
never-failing,2
inn.",1
compete,2
right-hand,4
searched,1
lie--as,1
gardens,2
Dorothea;",1
doubts,9
integrity,2
singing?",1
descry,,1
embers;,1
retire.",1
neighbours,7
such-like,1
Ubeda.'",1
flags,,2
wheeling,,1
worth,49
kissed.,1
amorous,4
huff,,1
returning,,1
anybody;,3
circumspice.,1
returning:,1
returning;,1
intentions;,1
investigator,1
neighbour,,3
neighbour.,1
intentions,,8
wort,,1
abolishing,1
adorned--in,1
disposed,,1
beverages,1
equal.,1
depraved,2
equal,,4
riches,,2
riches.,1
viewing,,1
dunderhead,,1
offshoots,1
market-place,3
heretics,1
machine,,1
dreadful,2
Hudibrastic,1
equals,4
protection,15
ploughed,1
personified,1
sorceress,1
obtained,4
less.,2
ostentation,,1
BEFALLEN,2
consequently,,1
fool's,1
less:,1
less;,5
useless.",1
PROCEEDED,2
separate,,1
inflicting,3
Satan,4
separate;,1
family.",1
plot,6
holidays;,1
gold-crowns?",1
coins,2
holidays,,3
girdling,1
sweated,1
separated,9
drinking;,1
roused;,1
conclusions,1
toppling,1
ascribe,2
disk,1
drinking.,1
Hoces,2
ears?",1
EVEN,1
exact,,1
society,,2
wills,,1
denying,,1
society;,1
bundle,,1
underlings,,1
coin.,1
elbow,2
lineage.",2
EVER,2
wine-skin,1
overspread,1
"Victory,,1
indicated,1
custom;,1
flung,28
heartless,1
custom,,3
cleverly.,1
bare,,2
headforemost,1
recovery,9
disinterestedness,,1
carriers,5
provide,21
nuts,2
Francia,,1
meed;,1
resignation,2
weapons,,3
"he,11
ladder,1
curiously,,1
indicate.,2
indicate,,1
customs,2
bared,3
